No.,Lokasi,Komoditas,Tahun,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
1,Nasional,Telur Ayam Ras,2014,20457,21038,19063,18365,19017,20513,21056,20743,20450,20000,19789,20684
2,Nasional,Telur Ayam Ras,2015,22814,22266,20675,19943,21274,22710,22598,22634,22632,21957,22052,23955
3,Nasional,Telur Ayam Ras,2016,25537,24505,23290,22448,23026,24473,24280,24049,23469,22920,22396,23488
4,Nasional,Telur Ayam Ras,2017,23584,22530,21940,22743,24193,23886,24370,23958,23085,22801,22915,25186
5,Nasional,Telur Ayam Ras,2018,25649,24739,24489,23857,24932,25363,26733,27438,24728,23950,24031,26053
6,Nasional,Telur Ayam Ras,2019,26239,25061,24158,24403,24341,24932,24654,24757,24533,23994,24117,25346
7,Nasional,Telur Ayam Ras,2020,25370,25292,25813,26495,25048,26036,26720,26239,25087,24749,25667,27892
8,Nasional,Telur Ayam Ras,2021,26417,25772,25191,25708,25811,26041,25717,25536,24042,23473,24892,26818
9,Nasional,Telur Ayam Ras,2022,28287,24546,25342,26409,27788,29252,29247,30230,30332,28412,28916,31096
10,Nasional,Telur Ayam Ras,2023,30570,29361,29445,30194,31127,31909,32124,31772,30326,29420,29281,29317
